epoch,lr,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
0,0.04,1.492547141181098,0.5486111111111112,0.5526876627989581,2.978190607494778,0.6944444444444444,0.6327272727272727
1,0.04,1.3129983875486586,0.5347222222222222,0.5263772175536882,1.0482498937182956,0.3611111111111111,0.7054545454545454
2,0.04,1.0549750129381816,0.4444444444444444,0.653828197945845,0.9806896845499674,0.6944444444444444,0.7490909090909091
3,0.04,1.1693016688028972,0.7083333333333334,0.7280578898225957,0.9747993681165907,0.6666666666666666,0.72
4,0.04,0.776939676867591,0.7222222222222222,0.8417366946778712,0.9086478683683608,0.75,0.8218181818181818
5,0.04,0.6707991659641266,0.7847222222222222,0.8874883286647993,0.9836175507969327,0.6666666666666666,0.7890909090909091
6,0.04,0.8817384309238858,0.7361111111111112,0.8015873015873016,0.8204538954628838,0.6944444444444444,0.8436363636363636
7,0.04,0.86964922481113,0.6319444444444444,0.8183940242763772,1.0571463406085968,0.75,0.7890909090909091
8,0.04,0.6929137739870284,0.8194444444444444,0.8751167133520075,1.317685851206382,0.75,0.7818181818181817
9,0.04,0.825859420829349,0.7291666666666666,0.82703081232493,1.0057890680101182,0.7222222222222222,0.8036363636363637
10,0.04,0.7767727110120985,0.8263888888888888,0.8632119514472455,0.9362242950333489,0.6666666666666666,0.8436363636363636
11,0.04,0.721909781297048,0.7430555555555556,0.869514472455649,0.8940393411450915,0.6666666666666666,0.8145454545454545
12,0.04,0.7810000843471951,0.7083333333333334,0.8420554108453706,0.8792046871450212,0.75,0.8072727272727273
13,0.04,0.6594208578268687,0.7569444444444444,0.888655462184874,1.282971054315567,0.7777777777777778,0.7781818181818182
14,0.04,0.8335573706361983,0.7430555555555556,0.8321661998132587,0.9058231645160251,0.5833333333333334,0.770909090909091
15,0.04,0.8433610068427192,0.6805555555555556,0.8200280112044819,0.9195848306020101,0.6944444444444444,0.8036363636363636
16,0.04,0.7769187821282281,0.7152777777777778,0.8410364145658263,1.0608829657236736,0.7777777777777778,0.7745454545454545
17,0.04,0.694419244925181,0.8055555555555556,0.8752071986739285,0.9880515966150496,0.75,0.8072727272727273
18,0.004,0.6105860471725464,0.8194444444444444,0.9147992530345472,0.9463119374381171,0.7222222222222222,0.8072727272727273
19,0.004,0.5935481256908841,0.8125,0.9187675070028012,0.9103791316350301,0.7222222222222222,0.8145454545454545
20,0.004,0.5859639909532335,0.7986111111111112,0.9166469334596259,0.964333520995246,0.7222222222222222,0.8181818181818181
21,0.004,0.573633137676451,0.8263888888888888,0.9234360410831,0.9311689105298784,0.75,0.8218181818181818
22,0.004,0.565415792995029,0.8194444444444444,0.9248366013071896,0.9903252257241143,0.75,0.8109090909090909
23,0.004,0.5759919385115305,0.7847222222222222,0.9178338001867414,0.92656895187166,0.7777777777777778,0.8218181818181818
24,0.004,0.5676268206702338,0.8402777777777778,0.922735760971055,0.9107877413431803,0.75,0.8290909090909091
25,0.004,0.5560779174168905,0.8333333333333334,0.9239876864788065,0.9981382588545481,0.7777777777777778,0.8036363636363637
26,0.004,0.5519036816226112,0.8263888888888888,0.9274042950513538,0.8949983318646749,0.7222222222222222,0.8109090909090909
27,0.004,0.5826295051309798,0.8333333333333334,0.9152261425526876,1.0030087133248646,0.75,0.8109090909090909
28,0.004,0.5754642801152335,0.8125,0.9161733364906464,0.9719959696133932,0.7222222222222222,0.8036363636363637
29,0.0004,0.534327013625039,0.8402777777777778,0.9339402427637722,0.9855280278457536,0.7222222222222222,0.8036363636363637
30,0.0004,0.5315554771158431,0.8402777777777778,0.9341736694677871,1.020225014951494,0.75,0.8072727272727273
31,0.0004,0.522832089000278,0.8541666666666666,0.9369747899159664,1.006692561838362,0.75,0.8
32,0.0004,0.5283450533946356,0.8611111111111112,0.9329860288894152,0.9993461039331224,0.75,0.8
33,0.0004,0.5289386808872223,0.8611111111111112,0.9353408029878618,0.9869255754682753,0.6944444444444444,0.8036363636363637
34,0.0004,0.5244198474619124,0.8541666666666666,0.935354013734312,0.9994575248824226,0.75,0.8
35,0.0004,0.5259941452079349,0.8541666666666666,0.9341700213118636,1.0058135290940602,0.75,0.8072727272727273
36,0.0004,0.5265723731782701,0.8541666666666666,0.9355742296918768,0.9926767200231552,0.75,0.8
