epoch,lr,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
0,0.043,1.4845080110761855,0.4375,0.4582166199813259,2.5177188449435763,0.3055555555555556,0.7127272727272727
1,0.043,1.328424957063463,0.5069444444444444,0.5361811391223156,3.916418174902598,0.6944444444444444,0.3163636363636364
2,0.043,1.1566345625453525,0.5486111111111112,0.6121240824058726,1.0085588693618774,0.5555555555555556,0.6581818181818181
3,0.043,0.9103446735276116,0.6805555555555556,0.781908595784987,1.187530643410153,0.7222222222222222,0.7781818181818182
4,0.043,0.8663568629158868,0.6875,0.7894861472886573,0.934439308113522,0.7222222222222222,0.7818181818181819
5,0.043,0.7124151157008277,0.8055555555555556,0.8723155929038282,1.1785109572940402,0.5555555555555556,0.6727272727272726
6,0.043,0.7733720342318217,0.7569444444444444,0.8356676003734828,0.9701866838667128,0.6388888888888888,0.7490909090909091
7,0.043,0.7144723236560822,0.7916666666666666,0.8725490196078431,1.1144606669743855,0.6111111111111112,0.709090909090909
8,0.043,0.6890342368019952,0.7986111111111112,0.8802521008403361,0.9194744427998861,0.7222222222222222,0.8145454545454546
9,0.043,0.6529920763439603,0.75,0.8947245564892624,1.3419066137737699,0.6944444444444444,0.6654545454545455
10,0.043,0.7910818590058221,0.7638888888888888,0.8345004668534081,0.9451658460828993,0.6944444444444444,0.7672727272727271
11,0.043,0.8000807166099548,0.7013888888888888,0.8333333333333334,1.0315253999498155,0.7777777777777778,0.7709090909090908
12,0.043,0.6998172071244981,0.7847222222222222,0.8813639592706607,1.0142562223805323,0.6666666666666666,0.7745454545454544
13,0.043,0.7085068689452277,0.7777777777777778,0.8709448259531138,1.1816419230567083,0.8333333333333334,0.7636363636363637
14,0.043,0.7176859610610538,0.75,0.8650793650793651,1.1515652934710185,0.6666666666666666,0.7272727272727273
15,0.043,0.6563576194975111,0.8125,0.8965919701213819,1.0857599178949993,0.6944444444444444,0.7272727272727273
16,0.043,0.7664231757322947,0.7430555555555556,0.8387402320625148,1.0852379732661777,0.6666666666666666,0.6945454545454546
17,0.043,1.0094849566618602,0.625,0.7299253034547152,1.057032651371426,0.6944444444444444,0.6981818181818181
18,0.043,0.7681989438003964,0.8055555555555556,0.857843137254902,1.0240892039404974,0.6666666666666666,0.749090909090909
19,0.043,0.6648660765753852,0.7916666666666666,0.8860877684407096,1.0987623400158353,0.75,0.7418181818181818
20,0.0043,0.6173491213056777,0.8333333333333334,0.9143323996265171,1.0183648665746052,0.6666666666666666,0.7454545454545454
21,0.0043,0.5864061845673455,0.8194444444444444,0.9234360410831,1.0647968682977889,0.6944444444444444,0.730909090909091
22,0.0043,0.5754390789402856,0.8263888888888888,0.92296918767507,1.1336303452650707,0.6666666666666666,0.7090909090909091
23,0.0043,0.5705320404635535,0.8194444444444444,0.9267040149393091,1.1262124511930678,0.6666666666666666,0.7163636363636364
24,0.0043,0.567506319946713,0.8125,0.9281045751633986,1.1150420506795247,0.6666666666666666,0.7236363636363636
25,0.0043,0.5774451295534769,0.8402777777777778,0.9243697478991597,1.1184287071228027,0.6666666666666666,0.7163636363636363
26,0.0043,0.5702817738056183,0.8402777777777778,0.9222689075630252,1.109399484263526,0.6666666666666666,0.730909090909091
27,0.0043,0.5671606858571371,0.7986111111111112,0.9309056956115779,1.1904163658618927,0.6666666666666666,0.7018181818181818
28,0.0043,0.5598558982213339,0.8472222222222222,0.9313725490196079,1.1593954298231337,0.6388888888888888,0.7127272727272728
29,0.0043,0.5513414012061225,0.8402777777777778,0.930905695611578,1.1212561991479661,0.6666666666666666,0.7381818181818182
30,0.0043,0.5712513360712264,0.8194444444444444,0.9243697478991597,1.1471506887012057,0.6666666666666666,0.7163636363636363
31,0.00043000000000000004,0.5486878520912595,0.8541666666666666,0.934173669467787,1.1327922410435147,0.6666666666666666,0.7163636363636363
32,0.00043000000000000004,0.5320199595557319,0.8472222222222222,0.9389059910016576,1.1318591965569391,0.6666666666666666,0.7163636363636363
33,0.00043000000000000004,0.5371647344695197,0.8472222222222222,0.9363012076722709,1.129171331723531,0.6666666666666666,0.7163636363636363
34,0.00043000000000000004,0.5461340182357364,0.8333333333333334,0.9351073762838469,1.1356740130318537,0.6666666666666666,0.72
35,0.00043000000000000004,0.5414312216970656,0.8541666666666666,0.9358076563958917,1.136358102162679,0.6666666666666666,0.72
36,0.00043000000000000004,0.5426328414016299,0.8472222222222222,0.9353408029878618,1.1419181360138788,0.6666666666666666,0.7163636363636363
37,0.00043000000000000004,0.546309812201394,0.8402777777777778,0.9355742296918768,1.1437226865026686,0.6666666666666666,0.7163636363636363
38,0.00043000000000000004,0.5439223183525933,0.8402777777777778,0.9346436182808431,1.1354880995220609,0.6666666666666666,0.72
